objectid,filename,title,format,date,subject,location,creator,description,type,language,content warning
coll001,parsonage.jpg,Our parsonage above and chapel & extra rooms below,image/jpg,,Mission,"Oran, Algeria","Butler, Carol",Photograph of the parsonage in Oran.,Image/Photo,,None
coll002,butlerletterdec76.pdf,Christmas 1976,application/pdf,1976-12-26,Mission; Family Life; Christmas,"Oran, Algeria; Morocco","Butler, David; Butler, Carol",Letter about Christmas trip to Morocco,Text/Letter,English,None
